id,chapter,title,minutes,kind,space,entry,action,threat,exit,checkpoint,assets,test,campaign_start_min,campaign_end_min
C05-S05,5,The place prepared for you,6,P19 interface / identity threat,26 m replacement bay; empty cradle and three mechanical bypass contacts,An empty bearer cradle faces Anja’s installation. Its forearm plates fit the posture Ivo now adopts while holding. A Custodian begins preparing its straps behind glass.,"Use an external service contact, not the cradle, to arrest the carriage bringing the footplate forward. Engage a bypass lever that redirects a maintenance walkway into position. Cross the walkway while the carriage remains personally held, then exit onto a nonconductive stone shelf before release. The cradle remains unused.","The Custodian sees Ivo but has a locked inspection door between them. He changes from pursuit behavior to preparing equipment. This is an observable action, not a disembodied evil speech.",The player understands that their growing competence makes them useful to the system. Ivo’s fingers rest in the cradle’s shape even after the load is released.,CP-C05-07 after walkway alignment; CP-C05-08 beyond cradle bay.,ENV-REPLACEMENT-CRADLE; PUZ-CARRIAGE; PROP-BYPASS-LEVER; ANIM-IVO-STRAIN-2,The mandatory route does not accidentally attach Ivo to the permanent cradle. Holding the carriage cannot hold the Custodian through the glass.,130,136
C05-S06,5,Follow the pressure,4,Transition / forward objective,46 m hydraulic stair; physical schematic repeats across walls,"Heavy conduits converge toward the seawall. Small relief models show water, a closed discharge and an inland pedestrian route. The symbols match actual machinery visible later.","Descend two ordinary ladders and open a service gate with a fixed crank. A tiny leak runs outward through a drain, giving the first physical hint that a seaward release path exists. A distant tap is recognizable but cannot guide every footstep.",Silence expands between slow structural knocks. No enemy reappears merely to fill the transition.,Ivo is now following the source of Anja’s burden rather than her transport. The next space opens toward impossible suspended water.,CP-C05-09 at seawall access. No checkpoint on a ladder.,KIT-HYDRAULIC; PROP-RELIEF-SCHEMATIC; AUD-PRESSURE-PULSE; VFX-LEAK,Players can describe the forward objective without reading text: reach the water restraints and find a release route.,136,140
C06-S01,6,The sea is below us,4,Large-scale revelation,55 m gallery; suspended-water vista and distant real horizon,"A mass of water hangs between broken bracing fins above the district. Loose rain falls in front of it. Through a breach beyond, the ordinary sea sits far below the trapped waterline.",Walk across the observation gallery. The camera gradually widens to show both water levels in one composition. A maintenance level marker and dried tide residue reinforce that the exterior surge has receded. The player can stop; no compulsory camera lock is needed.,"A trapped boat presses against the held surface but does not move. Far below, waves still break normally. The contradiction is spatial and physical, not a dream filter.",The player learns that the system has preserved an emergency whose original external cause has passed. Letting go remains dangerous until a route is prepared.,CP-C06-01 at the gallery end after the complete view.,ENV-SUSPENDED-SURGE; ENV-SEA-DISTANT; PROP-TIDE-MARK; CAM-FLOOD-REVEAL; AUD-WATER-HELD,At least 4/5 testers distinguish trapped water from the ordinary sea. Both levels remain visible at supported aspect ratios.,140,144
C06-S02,6,A smaller junction,6,P20 stationary assembly rehearsal,24 m relay room; three visible branches and stationary foot brace,"A certified relay station connects a door restraint, a maintenance lift and a small drain gate. All three endpoints fit within the initial wide composition. The foot brace resembles, but does not close like, the permanent cradle.","Connect using Interact. Ivo becomes stationary. Directional input moves selection along the visible branch links; Hold engages the selected station latch and Interact releases that latch, allowing the process to move. The station mechanically retains other branches while selection changes. First arrest the lift at the landing, engage its mechanical stop with the station’s paired lever, then open the drain and allow the door counterweight to settle. The body can disconnect once all three reach supported or safe states.","No enemy and no lethal timer. If the player forgets a branch, a rattling gauge and moving linkage identify the unresolved load. A small handplate moves with Ivo’s fingers.",The final control transformation is taught in miniature before the climax. Ivo withdraws intact; the camera returns continuously to his body.,CP-C06-02 at connection; CP-C06-03 after the rehearsal resolves. Save selected node and camera transition stage.,PUZ-RELAY-THREE; SYS-NETWORK-CONTROL; CAM-NODE-TRAVEL; ANIM-STATION-CONNECT,Players select and release the correct branch using controller or keyboard without free-pointer aim. Node IDs survive reload and are never inferred from screen position.,144,150
C06-S03,6,Give the water a route,7,P21 discharge preparation,"48 m seaward channel; sliding barrier, counterweight and inspection window",The original discharge channel is blocked by a barrier held half closed. Its counterweight hangs above an accessible locking rack. A small existing leak makes the downhill path visible.,"From the assembly contact, take the barrier restraint, let its counterweight descend until a broad locking tooth aligns, and arrest it. Disconnect only after using the adjacent one-handed lever to secure the rack. Open the discharge barrier through a separate mechanical crank; its weight now rests on the lock, not a bearer. Water from the test leak reaches the visible sea outlet.",The main suspended surge remains on the root circuit. Opening this small channel cannot accidentally trigger the final flood. Falling into the narrow inspection drain is recoverable by a ladder.,"Set DischargeOpen. The first of the ending’s three physical prerequisites is permanently satisfied, with visible water flow as confirmation.","CP-C06-04 after rack lock; CP-C06-05 after outlet test. Persist safe barrier endpoint, not a transient rigidbody pose.",PUZ-DISCHARGE-BARRIER; PUZ-COUNTERWEIGHT-RACK; VFX-TEST-FLOW; AUD-OUTLET,The final release cannot occur from this station. Verify the test-flow cue and its caption/visual equivalent on all quality tiers.,150,157
C06-S04,6,The fallen section becomes a wall,7,P22 prediction / controlled collapse,50 m broken harbor span; pivoting concrete panel and receiving sockets,"A fractured span hangs over both a pedestrian route and the prepared discharge. Its broad panel could direct water away from the route, but it is suspended at the wrong angle.","Use the local winch to shift two receiving blocks along short constrained rails. Connect to the panel assembly, let it lower toward the blocks, and Hold at the inspection angle to check alignment. Once both sockets align, release into the blocks. The panel becomes a fixed deflector, sheltering the pedestrian route and leaving the discharge unobstructed. A small test stream visibly follows it seaward.","A premature drop lands on a service catch, not a catastrophic unrecoverable collapse. The catch can be winched back up. Final Supported status requires both block locks and panel contact.","Set DeflectorStable. What looked like destruction becomes an engineered protective action, preparing the emotional logic of the ending.",CP-C06-06 after each receiving-block lock; CP-C06-07 after deflector settlement.,ENV-CONCRETE-DEFLECTOR; PUZ-RECEIVING-BLOCKS; SYS-ASSEMBLY-SUPPORT; VFX-CONCRETE-DUST,No procedural destruction simulation determines puzzle success. Test each block offset and confirm a recoverable catch for invalid configurations.,157,164
C06-S05,6,The building breathes with you,7,P23 assembly under pressure / identity horror,42 m braced corridor; large linked supports and one approaching worker,"Ivo must take a whole corridor support assembly while its mechanical bypass seats. On connection, nearby structural bands tighten in the rhythm of his breathing. Turning his head shifts a linked inspection arm, not the camera randomly.","Connect at the assembly station, release the bypass carriage until its rail reaches the visible stop, Hold to align its saddle, and engage the lock with the station lever. A Custodian approaches behind a clear partition and starts fitting a permanent cuff around the station. The completed bypass opens Ivo’s withdrawal path before that apparatus reaches him.","The cuff’s progress is an authored response to load-routing stages, not a hidden universal death timer. Hesitation retains tension but does not punish contemplation with an unexplained fail. Capture only occurs after a clearly signaled local final approach, with a checkpoint before it.",The corridor remains stable after Ivo disconnects. He has felt the building as part of his body and narrowly avoided becoming its fixture. Set EvacuationBypassReady.,CP-C06-08 after mechanical saddle alignment; CP-C06-09 beyond withdrawal door.,ENV-BREATHING-SUPPORTS; PUZ-BYPASS-SADDLE; ANIM-IVO-STRAIN-3; AUD-BUILDING-BREATH,"No motion sickness-inducing camera oscillation. Anatomical motion affects environmental presentation, not aim accuracy or locomotion latency.",164,171
C06-S06,6,An inland path,4,Preparation / final-act approach,44 m elevated service return; visible survivor refuge and junction entrance,"The inland footway is visible beyond the trapped district. The survivors wait behind a tram bridge and a blocked shutter. Orren stands among them, supporting himself on an ordinary rail.","Move a small access ladder into its fixed hooks and open the junction service door. Through the wall, Anja gives two taps, slower but recognizable. The route establishes the spatial relationship among the survivors, the central station and the final root passage.","There is no pursuit. Distant machinery provides a constant unresolved pressure, then drops to near silence at the station doorway.","The next objective is legible: use the junction to open those visible routes, not save an abstract population in unseen rooms.","CP-C06-10 before central entry. The three preparation flags are validated here; missing mandatory flags indicate a content bug and block QA sign-off, not a player punishment.",ENV-INLAND-FOOTWAY; PROP-ACCESS-LADDER; CHR-SURVIVOR-COHORT; CAM-EVAC-OVERVIEW,Every route is physically continuous in the level manifest. The chapter start preset must include all required prior relief flags.,171,175
C07-S01,7,The last bearer,4,Climax setup / central connection,24 m central junction; body visible across linked windows,Anja’s strain reaches a breaking rhythm. The central junction presents one aggregate restraint plate and a mechanical discharge handle that remains blocked by unresolved evacuation loads. The prepared permanent collar is open.,"Approach and connect. The station temporarily takes Ivo as the aggregate bearer of the remaining local network. Existing held branches remain held under this single engineered assembly. Directional input selects a branch to release or recapture; it does not give unlimited independent personal Holds. The camera follows the conduit outward, leaving Ivo’s body still visible briefly behind.","Power comes with immobility. The station’s collar responds to the aggregate load, visibly tightening. No combat begins.",The player understands that bodily movement has changed into network navigation. This reuses the chapter 6 rehearsal with a larger consequence.,CP-C07-01 before connection; CP-C07-02 in the initial network state.,ENV-CENTRAL-JUNCTION; SYS-AGGREGATE-HOLD; CAM-NETWORK-ENTRY; ANIM-IVO-CONNECT,"Ownership graph has one aggregate station owner with defined branches, not multiple uncontrolled personal owners. Disconnect is unavailable until the mechanical withdrawal condition is met.",175,179
C07-S02,7,See who must cross,4,Network orientation / dependency preview,Three linked views; maximum three selectable nodes visible at once,"The camera reaches the waiting survivors, then the suspended tram crossing and the shelter canopy. Familiar fittings carry the same shapes and sound patterns used earlier.",Use directional selection to inspect each adjacent node. A trial release of the empty canopy branch lowers it toward a broad support stop; recapturing is safe. The tram’s support rails and a shutter interlock are visible in the next view. Mechanical indicators show which routes are physically passable; no abstract strategy map replaces the world.,"Survivors wait behind safety gates and look toward opening routes. They do not blindly walk under moving loads. Their breathing is independent, contrasting with the network’s common rhythm.",The player has a comprehensible local plan before responsibility becomes active. Three nodes per view limits selection burden.,CP-C07-03 after canopy rehearsal; preserve all settled states.,SYS-NODE-SELECT; AI-EVAC-SAFETY; PUZ-CANOPY; CAM-DEPENDENCY-VIEW,At least 4/5 first-time players can identify which physical obstruction to resolve first without a spoken explanation.,179,183
C07-S03,7,A bridge for people who choose to move,6,"P24 network evacuation, first crossing","Two network views; tram assembly, support stop and access shutter",A small survivor group waits at the near tram platform. The suspended carriage is too high to cross; its lower support was stabilized earlier but a final overhead restraint remains.,"Release the tram branch until it settles on the prepared supports. A contact gauge verifies Supported. Select the access shutter and maintain its open process while the first group crosses the carriage interior. Once the last person clears the crossing sensor, release the shutter; it closes behind them and blocks a falling debris route. The survivors walk themselves, with individual pauses and gestures.","The collar around Ivo advances a visible stage as the remaining load redistributes. It does not end the game merely because the player spends longer choosing a node. A dangerous branch release triggers a visible safety interlock and a reversible stop, not an offscreen civilian massacre.","The first evacuation dependency is removed. A branch goes physically slack, and the corresponding sound disappears from the station.",CP-C07-04 after tram settlement; CP-C07-05 after first group reaches refuge. Survivor IDs and route phase persist.,SYS-EVAC-GROUP-A; ENV-TRAM-RETURN-PROXY; PUZ-EVAC-SHUTTER; AUD-BRANCH-RELIEF,Every survivor clears before shutter closure. Save/reload at each individual crossing boundary; do not duplicate or lose actors across streamed scenes.,183,189
C07-S04,7,The shelter becomes ordinary,6,"P25 network evacuation, second crossing","Two further views; canopy, sliding stair landing and final walkway","The next group, including Orren, waits below the supported canopy. A stair landing remains held at the wrong height. Beyond it, the inland route is now physically clear.","Lower the canopy fully into its mechanical stops, freeing that branch. Release and recapture the stair landing at the alignment mark; the pre-engaged pawl locks it. Open the final walkway shutter and maintain it while the group crosses. Orren pauses to help another bearer, then continues without a player command. Once all are on stone ground, close the shutter to separate them from the root-discharge area.","Ivo’s stationary silhouette now echoes the walls. The entire building breathes with him at the beginning, but each supported branch removes part of that response. The transformation unwinds because of concrete actions.",Set EvacuationComplete for the established cohort. The aggregate load falls within the portable root interface’s defined local capacity.,"CP-C07-06 after landing lock; CP-C07-07 when final survivor clears. Max two active evacuation groups, pooled and explicitly indexed.",SYS-EVAC-GROUP-B; CHR-ORREN; PUZ-STAIR-LANDING; ANIM-SURVIVOR-HELP; AUD-NETWORK-THIN,"NPC delays cannot deadlock the route. A timeout requests a safe repath at the current refuge, never a visible teleport through a hazard.",189,195
C07-S05,7,Withdraw your hands,6,P26 exit the junction / bodily return,28 m central station return and lowered maintenance catwalk,The camera returns along now-slack conduits to Ivo. The collar has stopped short of closing because its load-driven carriage no longer advances. A mechanical release lever is within his left-hand reach.,"Use Interact to disengage the trial forearm plate, maintain the local withdrawal restraint through the portable brace, and step backward out of the station. Walk the catwalk, release a now-supported secondary fitting and disconnect an unused conduit bridge. The root remains on Anja until the final handover; Ivo’s personal brace carries only the temporary local withdrawal restraint during this exit.","No last-minute new enemy enters. The danger is a short familiar unstable step that must be supported before he relinquishes the local withdrawal restraint. His stride is initially stiff through animation, not reduced control speed.","Ivo is physically himself again, though his hand remains curled. The system no longer needs the full central junction to sustain the final root branch.",CP-C07-08 after forearm release; CP-C07-09 on stone catwalk. Explicitly transfer the local withdrawal restraint to support before clearing station ownership.,ANIM-IVO-WITHDRAW; PUZ-LOCAL-WITHDRAWAL; SYS-WITHDRAWAL-HANDOFF; CAM-RETURN-BODY,"No contradictory simultaneous root owners. The final root is still Anja’s until C08-S03, and all previous branches remain Resolved after disconnect.",195,201
C07-S06,7,No one is pulling you onward,4,Quiet approach / emotional reset,40 m low root passage; exposed nonconductive stone,"The usual taps and mechanical rhythms have mostly stopped. Through a high gap, the survivors are already on the inland route. Their movement is irregular and human.","Traverse a low crawl, open a light inspection hatch and descend a short stair. Ivo can look back at the receding conduits. A single recognizable doubled cuff is visible ahead.",Use near silence with soft footsteps and breathing. Do not insert a false chase or a cheap last scare after the evacuation payoff.,The game narrows from town-scale responsibility to one hand and one relationship.,CP-C07-10 before the final root chamber.,KIT-ROOT-STONE; AUD-POST-JUNCTION; CAM-NARROW-APPROACH; CHR-SURVIVOR-DISTANT,Transition into the final chamber must not stream-stall. Emotional pauses remain optional rather than enforced idle timers.,201,205
C08-S01,8,Check the path you made,3,P27 final physical verification,24 m root service walkway; three mechanically linked indicators,"Three physical linkages converge beside the root: open discharge, seated deflector and closed evacuation separator. Each corresponds to a structure the player changed earlier.","Walk past the linkages and operate the final ordinary drain-test lever. A thin stream follows the discharge rather than the evacuated path. All prerequisites are mandatory campaign results, so this verifies the player’s work rather than introducing a late fetch quest.","A low creak persists in the root connection. There is no screen countdown, morality score or “good ending” message.",The release route is visibly safe for the established survivors. Ivo has earned the final action through the campaign’s physical changes.,"CP-C08-01 after test flow. Validate DischargeOpen, DeflectorStable and EvacuationComplete.",PROP-FINAL-LINKAGES; PUZ-DRAIN-TEST; VFX-TEST-FLOW-FINAL; AUD-ROOT-STRAIN,"A broken flag indicates an implementation error caught by automated progression tests, not an intended alternate ending.",205,208
C08-S02,8,Two taps,4,Final meeting / cinematic interaction,14 m intimate root alcove; Ivo and Anja’s remaining hand,Anja’s hand rests in the root terminal. The doubled cuff is still visible. Her face is no longer framed; recognition relies on what the game has taught.,"Approach and place Ivo’s free hand beside hers with Interact. She gives two taps, now separated by effort. He returns them. The short aligned interaction lasts about eight seconds, then ordinary movement and the final contact are available. The remainder of the beat includes approaching, observing and understanding, not four minutes of mandatory cinematic.",No external threat interrupts the goodbye. The fear is irreversible loss and the possibility of remaining attached forever.,Anja withdraws her fingers slightly toward the portable handover fitting. She is not commanding suicide; the visible network state establishes that the root cannot sustain her body after relief.,CP-C08-02 after the gesture; replaying a checkpoint need not repeat it.,ANIM-FINAL-TAPS; CHR-ANJA-HAND; CAM-HAND-TWO-SHOT; AUD-ANJA-FINAL,The gesture reads at normal viewing distance. Captions describe the taps without interpreting the player’s emotions.,208,212
C08-S03,8,Let it move,4,P28 final handover / intentional release,16 m root fitting with view of first discharge movement,The portable handover contact matches the first useful shutter. The last remaining vane is taut. The ordinary sea outlet is faintly visible beyond the deflector.,"Acquire the root Hold, transferring its one remaining local restraint from Anja to Ivo. Keep the input held to postpone release; the game allows contemplation. On deliberate release, the root gate opens through its prepared safe trajectory and water begins moving seaward. In toggle mode, use the same release action after the final gesture, with a subtle optional confirmation prompt. Menus, focus loss and device disconnection never count as deliberate release.","Anja’s hand relaxes as the central tissues lose tension. Her death is quiet, not a gore reward. No hidden branch judges how many seconds the player waited.",Set RootReleased. The active network disconnects; the brace is now inert because there is no powered restraint path. A shallow water front makes the exit direction obvious.,CP-C08-03 before acquisition; CP-C08-04 immediately after the release commit and before escape. Reload never repeats the decision unless explicitly restarting the prior checkpoint.,SYS-ROOT-RELEASE; ANIM-HAND-RELAX; VFX-DISCHARGE; AUD-ROOT-UNLOAD; NAR-ROOT-RELEASED,"Test alt-tab, pause, unplugged controller, remapping and toggle mode at the decision. Only a player release command commits the ending event.",212,216
C08-S04,8,The last moving corridor,4,P29 familiar escape,"56 m escape lane; two short jumps, one slide and visible settling structures",Water travels away through the cleared outlet while the root corridor settles behind Ivo. The route ahead is lit by the pale inland exit. The environment is moving normally for the first time.,"Run along the established stone path, jump a 1.5 m break, crouch beneath a settling beam, slide down a short dry slope and cross a second 1.6 m gap. No new inputs, impossible jumps, swimming or restored magical power. The action core lasts approximately 45–70 seconds; approach, recovery and observation account for the remaining target time.","Crush volumes follow visible colliders and have anticipatory dust and creak. A fall retries at an internal safe shelf, not before Anja’s goodbye. The water is not a faster-than-player arbitrary death wall.","Ivo reaches the dead exit terminal. The brace contact gives a soft powerless mechanical click, without a mocking failure animation.",CP-C08-05 at the intermediate shelf; CP-C08-06 at the exit gate.,KIT-ESCAPE-SETTLE; VFX-DUST-SHEAR; ANIM-SLIDE; AUD-ESCAPE; SYS-DEAD-NETWORK,The entire escape works without sound and in timing-assist mode. Repeat failures do not desensitize the player by replaying the mother’s death.,216,220
C08-S05,8,A person holds the gate,3,Payoff / voluntary support,22 m exit gate and first inland steps,"The terminal is dead. On the far side, Orren recognizes Ivo and takes the gate’s ordinary handle. His bent shoe and missing button make the callback unmistakable.","Approach and Interact once with the powerless terminal if desired. Orren sees Ivo independently of that optional action and manually lifts the gate. Walk beneath. He holds it only long enough to pass, then releases and follows. The geometry is a lightweight balanced gate, not an implausibly heavy load for a frail survivor.",No betrayal or final capture. The gate closes safely behind them. The difference between coerced permanent support and temporary voluntary help is the point.,Ivo joins people rather than machinery. The game does not state the theme in dialogue.,CP-C08-07 beyond gate. Orren’s position and gate state restore together.,CHR-ORREN; PUZ-EXIT-GATE; ANIM-ORREN-GATE; AUD-ORDINARY-HINGE,The player cannot strand Orren or be crushed by stopping beneath the gate. Gate assistance waits on a clear occupancy sensor.,220,223
C08-S06,8,Open hand,2,Playable epilogue / ending,34 m railway embankment; distant town silhouette,Survivors climb inland under a clearing gray sky. Their footsteps overlap without synchronization. The town settles in the far background; there is no giant explosion.,"Walk the final embankment. Ivo’s hand remains curled. A survivor offers an open hand as he comes near; Ivo gradually uncurls his fingers and accepts it. This uses a short paired alignment, then the player controls several final steps with the group. Fade after a natural composition threshold, not while the player is attempting another puzzle.",No threat. A little ambient wind and ordinary shoes replace the held mechanical rhythm. Avoid a triumphant orchestral resolution.,Canonical ending. Credits begin outside the 225-minute campaign target. Continue loads the completed epilogue/checkpoint menu without suggesting an undiscovered true ending.,CP-C08-08 marks completion before credits. Returning to the campaign does not replay an incomplete final-release state.,ANIM-OPEN-HAND; ANIM-PAIRED-WALK; ENV-EMBANKMENT; AUD-UNSYNCED-STEPS; UI-CREDITS,"Completion writes atomically. Test credits skip, quit during fade, restart after completion and selection of earlier unlocked checkpoints.",223,225
