A1: THE HELD | ASSETS
A2: One row is a work package / family, not one finished file. First-use room cards define context; status is editable.
A4: ID | B4: Package | C4: Type | D4: Owner role | E4: First use | F4: Deliverable | G4: Gate | H4: Status
A134: PROP-RELIEF-SCHEMATIC | B134: Relief Schematic | C134: Prop | D134: Environment artist | E134: C05-S06 | F134: Readable silhouette; correct pivot/material/collision; story or interaction state where specified. | G134: M11/M13 | H134: Not started
A135: PROP-SHEET-VARIANTS | B135: Sheet Variants | C135: Prop | D135: Environment artist | E135: C02-S04 | F135: Readable silhouette; correct pivot/material/collision; story or interaction state where specified. | G135: M11/M13 | H135: Not started
A136: PROP-SIDE-LATCH | B136: Side Latch | C136: Prop | D136: Environment artist | E136: C04-S02 | F136: Readable silhouette; correct pivot/material/collision; story or interaction state where specified. | G136: M11/M13 | H136: Not started
A137: PROP-TERMINAL-COVERS | B137: Terminal Covers | C137: Prop | D137: Environment artist | E137: C01-S05 | F137: Readable silhouette; correct pivot/material/collision; story or interaction state where specified. | G137: M11/M13 | H137: Not started
A138: PROP-TIDE-MARK | B138: Tide Mark | C138: Prop | D138: Environment artist | E138: C06-S01 | F138: Readable silhouette; correct pivot/material/collision; story or interaction state where specified. | G138: M11/M13 | H138: Not started
A139: PROP-TIED-COAT | B139: Tied Coat | C139: Prop | D139: Environment artist | E139: C02-S01 | F139: Readable silhouette; correct pivot/material/collision; story or interaction state where specified. | G139: M11/M13 | H139: Not started
A140: PROP-TOOLS | B140: Tools | C140: Prop | D140: Environment artist | E140: C01-S04 | F140: Readable silhouette; correct pivot/material/collision; story or interaction state where specified. | G140: M11/M13 | H140: Not started
A141: PROP-TRANSPORT-RIG | B141: Transport Rig | C141: Prop | D141: Environment artist | E141: C01-S02 | F141: Readable silhouette; correct pivot/material/collision; story or interaction state where specified. | G141: M11/M13 | H141: Not started
A142: PROP-TRAY | B142: Tray | C142: Prop | D142: Environment artist | E142: C01-S03 | F142: Readable silhouette; correct pivot/material/collision; story or interaction state where specified. | G142: M11/M13 | H142: Not started
A143: PROP-VENT-FLAP | B143: Vent Flap | C143: Prop | D143: Environment artist | E143: C05-S01 | F143: Readable silhouette; correct pivot/material/collision; story or interaction state where specified. | G143: M11/M13 | H143: Not started
A144: PUZ-ACCESS-PLATFORM | B144: Access Platform | C144: Puzzle mechanism | D144: Designer + gameplay engineer + artist | E144: C05-S02 | F144: Motion definition, contact sockets, hold/support states, save data, sounds and solvability fixture. | G144: M03/M12 | H144: Not started
A145: PUZ-ANCHOR | B145: Anchor | C145: Puzzle mechanism | D145: Designer + gameplay engineer + artist | E145: C02-S02 | F145: Motion definition, contact sockets, hold/support states, save data, sounds and solvability fixture. | G145: M03/M12 | H145: Not started
A146: PUZ-BYPASS-SADDLE | B146: Bypass Saddle | C146: Puzzle mechanism | D146: Designer + gameplay engineer + artist | E146: C06-S05 | F146: Motion definition, contact sockets, hold/support states, save data, sounds and solvability fixture. | G146: M03/M12 | H146: Not started
A147: PUZ-CANOPY | B147: Canopy | C147: Puzzle mechanism | D147: Designer + gameplay engineer + artist | E147: C07-S02 | F147: Motion definition, contact sockets, hold/support states, save data, sounds and solvability fixture. | G147: M03/M12 | H147: Not started
A148: PUZ-CARRIAGE | B148: Carriage | C148: Puzzle mechanism | D148: Designer + gameplay engineer + artist | E148: C05-S05 | F148: Motion definition, contact sockets, hold/support states, save data, sounds and solvability fixture. | G148: M03/M12 | H148: Not started
A149: PUZ-CONDUIT-HINGE | B149: Conduit Hinge | C149: Puzzle mechanism | D149: Designer + gameplay engineer + artist | E149: C03-S02 | F149: Motion definition, contact sockets, hold/support states, save data, sounds and solvability fixture. | G149: M03/M12 | H149: Not started
A150: PUZ-COUNTERWEIGHT-RACK | B150: Counterweight Rack | C150: Puzzle mechanism | D150: Designer + gameplay engineer + artist | E150: C06-S03 | F150: Motion definition, contact sockets, hold/support states, save data, sounds and solvability fixture. | G150: M03/M12 | H150: Not started
A151: PUZ-COUPLED-HATCH | B151: Coupled Hatch | C151: Puzzle mechanism | D151: Designer + gameplay engineer + artist | E151: C03-S05 | F151: Motion definition, contact sockets, hold/support states, save data, sounds and solvability fixture. | G151: M03/M12 | H151: Not started
A152: PUZ-DISCHARGE-BARRIER | B152: Discharge Barrier | C152: Puzzle mechanism | D152: Designer + gameplay engineer + artist | E152: C06-S03 | F152: Motion definition, contact sockets, hold/support states, save data, sounds and solvability fixture. | G152: M03/M12 | H152: Not started
A153: PUZ-DRAIN-TEST | B153: Drain Test | C153: Puzzle mechanism | D153: Designer + gameplay engineer + artist | E153: C08-S01 | F153: Motion definition, contact sockets, hold/support states, save data, sounds and solvability fixture. | G153: M03/M12 | H153: Not started
A154: PUZ-DRYING-BRIDGE | B154: Drying Bridge | C154: Puzzle mechanism | D154: Designer + gameplay engineer + artist | E154: C02-S02 | F154: Motion definition, contact sockets, hold/support states, save data, sounds and solvability fixture. | G154: M03/M12 | H154: Not started
A155: PUZ-EVAC-SHUTTER | B155: Evac Shutter | C155: Puzzle mechanism | D155: Designer + gameplay engineer + artist | E155: C07-S03 | F155: Motion definition, contact sockets, hold/support states, save data, sounds and solvability fixture. | G155: M03/M12 | H155: Not started
A156: PUZ-EXIT-GATE | B156: Exit Gate | C156: Puzzle mechanism | D156: Designer + gameplay engineer + artist | E156: C08-S05 | F156: Motion definition, contact sockets, hold/support states, save data, sounds and solvability fixture. | G156: M03/M12 | H156: Not started
A157: PUZ-HINGED-FLOOR | B157: Hinged Floor | C157: Puzzle mechanism | D157: Designer + gameplay engineer + artist | E157: C03-S03 | F157: Motion definition, contact sockets, hold/support states, save data, sounds and solvability fixture. | G157: M03/M12 | H157: Not started
A158: PUZ-LIGHT-SHUTTER | B158: Light Shutter | C158: Puzzle mechanism | D158: Designer + gameplay engineer + artist | E158: C02-S04 | F158: Motion definition, contact sockets, hold/support states, save data, sounds and solvability fixture. | G158: M03/M12 | H158: Not started
A159: PUZ-LOCAL-WITHDRAWAL | B159: Local Withdrawal | C159: Puzzle mechanism | D159: Designer + gameplay engineer + artist | E159: C07-S05 | F159: Motion definition, contact sockets, hold/support states, save data, sounds and solvability fixture. | G159: M03/M12 | H159: Not started
A160: PUZ-RACK-PAIR | B160: Rack Pair | C160: Puzzle mechanism | D160: Designer + gameplay engineer + artist | E160: C02-S03 | F160: Motion definition, contact sockets, hold/support states, save data, sounds and solvability fixture. | G160: M03/M12 | H160: Not started
A161: PUZ-RECEIVING-BLOCKS | B161: Receiving Blocks | C161: Puzzle mechanism | D161: Designer + gameplay engineer + artist | E161: C06-S04 | F161: Motion definition, contact sockets, hold/support states, save data, sounds and solvability fixture. | G161: M03/M12 | H161: Not started
A162: PUZ-RELAY-THREE | B162: Relay Three | C162: Puzzle mechanism | D162: Designer + gameplay engineer + artist | E162: C06-S02 | F162: Motion definition, contact sockets, hold/support states, save data, sounds and solvability fixture. | G162: M03/M12 | H162: Not started
A163: PUZ-REMOTE-HATCH | B163: Remote Hatch | C163: Puzzle mechanism | D163: Designer + gameplay engineer + artist | E163: C03-S02 | F163: Motion definition, contact sockets, hold/support states, save data, sounds and solvability fixture. | G163: M03/M12 | H163: Not started
A164: PUZ-RESCUE-RIG | B164: Rescue Rig | C164: Puzzle mechanism | D164: Designer + gameplay engineer + artist | E164: C04-S04 | F164: Motion definition, contact sockets, hold/support states, save data, sounds and solvability fixture. | G164: M03/M12 | H164: Not started
A165: PUZ-ROLLER | B165: Roller | C165: Puzzle mechanism | D165: Designer + gameplay engineer + artist | E165: C02-S05 | F165: Motion definition, contact sockets, hold/support states, save data, sounds and solvability fixture. | G165: M03/M12 | H165: Not started
A166: PUZ-ROTATOR | B166: Rotator | C166: Puzzle mechanism | D166: Designer + gameplay engineer + artist | E166: C01-S04 | F166: Motion definition, contact sockets, hold/support states, save data, sounds and solvability fixture. | G166: M03/M12 | H166: Not started
A167: PUZ-SCREW-JACK | B167: Screw Jack | C167: Puzzle mechanism | D167: Designer + gameplay engineer + artist | E167: C05-S03 | F167: Motion definition, contact sockets, hold/support states, save data, sounds and solvability fixture. | G167: M03/M12 | H167: Not started
A168: PUZ-SHUTTER | B168: Shutter | C168: Puzzle mechanism | D168: Designer + gameplay engineer + artist | E168: C01-S03 | F168: Motion definition, contact sockets, hold/support states, save data, sounds and solvability fixture. | G168: M03/M12 | H168: Not started
A169: PUZ-SLAB | B169: Slab | C169: Puzzle mechanism | D169: Designer + gameplay engineer + artist | E169: C05-S02 | F169: Motion definition, contact sockets, hold/support states, save data, sounds and solvability fixture. | G169: M03/M12 | H169: Not started
A170: PUZ-STAIR-LANDING | B170: Stair Landing | C170: Puzzle mechanism | D170: Designer + gameplay engineer + artist | E170: C07-S04 | F170: Motion definition, contact sockets, hold/support states, save data, sounds and solvability fixture. | G170: M03/M12 | H170: Not started
A171: PUZ-STAIR-RATCHET | B171: Stair Ratchet | C171: Puzzle mechanism | D171: Designer + gameplay engineer + artist | E171: C03-S04 | F171: Motion definition, contact sockets, hold/support states, save data, sounds and solvability fixture. | G171: M03/M12 | H171: Not started
A172: PUZ-SUPPORT-PROP | B172: Support Prop | C172: Puzzle mechanism | D172: Designer + gameplay engineer + artist | E172: C02-S05 | F172: Motion definition, contact sockets, hold/support states, save data, sounds and solvability fixture. | G172: M03/M12 | H172: Not started
A173: PUZ-SUPPORT-SHOES | B173: Support Shoes | C173: Puzzle mechanism | D173: Designer + gameplay engineer + artist | E173: C04-S05 | F173: Motion definition, contact sockets, hold/support states, save data, sounds and solvability fixture. | G173: M03/M12 | H173: Not started
A174: PUZ-SUPPORT-TROLLEY | B174: Support Trolley | C174: Puzzle mechanism | D174: Designer + gameplay engineer + artist | E174: C05-S02 | F174: Motion definition, contact sockets, hold/support states, save data, sounds and solvability fixture. | G174: M03/M12 | H174: Not started
A175: PUZ-TROLLEY-BRAKE | B175: Trolley Brake | C175: Puzzle mechanism | D175: Designer + gameplay engineer + artist | E175: C04-S03 | F175: Motion definition, contact sockets, hold/support states, save data, sounds and solvability fixture. | G175: M03/M12 | H175: Not started
A176: PUZ-WINCH | B176: Winch | C176: Puzzle mechanism | D176: Designer + gameplay engineer + artist | E176: C04-S05 | F176: Motion definition, contact sockets, hold/support states, save data, sounds and solvability fixture. | G176: M03/M12 | H176: Not started
A177: UI-CREDITS | B177: Credits | C177: UI | D177: UI artist + engineer | E177: C08-S06 | F177: Localized text/glyphs, controller navigation, scalable readability and safe pause state. | G177: M11/M14 | H177: Not started
A178: VFX-CONCRETE-DUST | B178: Concrete Dust | C178: VFX | D178: Technical artist | E178: C06-S04 | F178: State-driven effect; bounded overdraw; low-quality fallback preserves clue; pause/reset behavior. | G178: M11/M13 | H178: Not started
A179: VFX-CONTACT-TENSION | B179: Contact Tension | C179: VFX | D179: Technical artist | E179: C03-S02 | F179: State-driven effect; bounded overdraw; low-quality fallback preserves clue; pause/reset behavior. | G179: M11/M13 | H179: Not started
A180: VFX-DISCHARGE | B180: Discharge | C180: VFX | D180: Technical artist | E180: C08-S03 | F180: State-driven effect; bounded overdraw; low-quality fallback preserves clue; pause/reset behavior. | G180: M11/M13 | H180: Not started
A181: VFX-DUST | B181: Dust | C181: VFX | D181: Technical artist | E181: C01-S04 | F181: State-driven effect; bounded overdraw; low-quality fallback preserves clue; pause/reset behavior. | G181: M11/M13 | H181: Not started
A182: VFX-DUST-SHEAR | B182: Dust Shear | C182: VFX | D182: Technical artist | E182: C08-S04 | F182: State-driven effect; bounded overdraw; low-quality fallback preserves clue; pause/reset behavior. | G182: M11/M13 | H182: Not started
A183: VFX-LEAK | B183: Leak | C183: VFX | D183: Technical artist | E183: C05-S06 | F183: State-driven effect; bounded overdraw; low-quality fallback preserves clue; pause/reset behavior. | G183: M11/M13 | H183: Not started
A184: VFX-PLASTER | B184: Plaster | C184: VFX | D184: Technical artist | E184: C01-S02 | F184: State-driven effect; bounded overdraw; low-quality fallback preserves clue; pause/reset behavior. | G184: M11/M13 | H184: Not started
A185: VFX-RAIN | B185: Rain | C185: VFX | D185: Technical artist | E185: C03-S06 | F185: State-driven effect; bounded overdraw; low-quality fallback preserves clue; pause/reset behavior. | G185: M11/M13 | H185: Not started
A186: VFX-STEAM | B186: Steam | C186: VFX | D186: Technical artist | E186: C02-S01 | F186: State-driven effect; bounded overdraw; low-quality fallback preserves clue; pause/reset behavior. | G186: M11/M13 | H186: Not started
A187: VFX-TEST-FLOW | B187: Test Flow | C187: VFX | D187: Technical artist | E187: C06-S03 | F187: State-driven effect; bounded overdraw; low-quality fallback preserves clue; pause/reset behavior. | G187: M11/M13 | H187: Not started
A188: VFX-TEST-FLOW-FINAL | B188: Test Flow Final | C188: VFX | D188: Technical artist | E188: C08-S01 | F188: State-driven effect; bounded overdraw; low-quality fallback preserves clue; pause/reset behavior. | G188: M11/M13 | H188: Not started
A189: PROP-BRACE | B189: Portable brace, hand contacts and range vane | C189: Prop | D189: Character artist + technical artist | E189: C01-S02 | F189: See master sections8–11 and16 for integration/delivery requirements. | G189: M11/M16 | H189: Not started
A190: KIT-BURDEN | B190: Burden gallery construction kit | C190: Environment kit | D190: Environment artist | E190: C05-S01 | F190: See master sections8–11 and16 for integration/delivery requirements. | G190: M11/M16 | H190: Not started
A191: KIT-ROOT-ESCAPE | B191: Root and escape construction kit | C191: Environment kit | D191: Environment artist | E191: C07-S01 | F191: See master sections8–11 and16 for integration/delivery requirements. | G191: M11/M16 | H191: Not started
A192: KIT-EMBANKMENT | B192: Embankment kit | C192: Environment kit | D192: Environment artist | E192: C08-S06 | F192: See master sections8–11 and16 for integration/delivery requirements. | G192: M11/M16 | H192: Not started
A193: PROP-DOMESTIC-SET | B193: Furniture, utensils, curtains and repair-tool set | C193: Prop | D193: Environment artist | E193: C01-S01 | F193: See master sections8–11 and16 for integration/delivery requirements. | G193: M11/M16 | H193: Not started
A194: PROP-CIVIC-SET | B194: Porcelain covers, gauges, pictograms and transport fixtures | C194: Prop | D194: Environment artist | E194: C01-S01 | F194: See master sections8–11 and16 for integration/delivery requirements. | G194: M11/M16 | H194: Not started
A195: PROP-LAUNDRY-SET | B195: Drains, textiles, baskets and hanging tool variants | C195: Prop | D195: Environment artist | E195: C02-S01 | F195: See master sections8–11 and16 for integration/delivery requirements. | G195: M11/M16 | H195: Not started
A196: VFX-WETNESS | B196: Rain, wetness and shallow-water contact family | C196: VFX | D196: Technical artist | E196: C03-S06 | F196: See master sections8–11 and16 for integration/delivery requirements. | G196: M11/M16 | H196: Not started
A197: VFX-OCCLUDER-FADE | B197: Foreground readability fallback | C197: VFX | D197: Technical artist | E197: C01-S01 | F197: See master sections8–11 and16 for integration/delivery requirements. | G197: M11/M16 | H197: Not started
A198: UI-MENUS | B198: Title, pause, continue, settings and reached-chapter replay | C198: UI | D198: UI engineer + artist | E198: Boot | F198: See master sections8–11 and16 for integration/delivery requirements. | G198: M11/M16 | H198: Not started
A199: UI-INPUT | B199: Remapping, glyph sets and interaction assistance | C199: UI | D199: UI engineer + artist | E199: Boot | F199: See master sections8–11 and16 for integration/delivery requirements. | G199: M11/M16 | H199: Not started
A200: UI-CAPTIONS | B200: Dialogue/sound-direction captions and accessibility options | C200: UI | D200: UI engineer + artist | E200: Boot | F200: See master sections8–11 and16 for integration/delivery requirements. | G200: M11/M16 | H200: Not started
A201: UI-ERRORS | B201: Save failure, restart and recoverable error presentation | C201: UI | D201: UI engineer + artist | E201: Boot | F201: See master sections8–11 and16 for integration/delivery requirements. | G201: M11/M16 | H201: Not started
A202: AUD-UI | B202: Menu and safe error-feedback event family | C202: Audio | D202: Sound designer | E202: Boot | F202: See master sections8–11 and16 for integration/delivery requirements. | G202: M11/M16 | H202: Not started
A203: BUILD-STORE | B203: Original store capsules, screenshots and spoiler-safe trailer | C203: Marketing | D203: Producer + artist | E203: Release | F203: See master sections8–11 and16 for integration/delivery requirements. | G203: M11/M16 | H203: Not started
A204: BUILD-CREDITS | B204: Credits, licensed notices and content/accessibility descriptions | C204: Product | D204: Producer | E204: Release | F204: See master sections8–11 and16 for integration/delivery requirements. | G204: M11/M16 | H204: Not started
