id,chapter,title,minutes,puzzles,blockout,actors,initial_state,storyboard,solution,threat_and_recovery,narrative,audio,checkpoint,save_contract,exit,acceptance,start_min,end_min
SQ-07-02,C07,A room that follows your shoulders,6,"[""PZ-22""]","Linked domestic chamber 30 × 11 × 14 m. Movable room module 6 × 3.6 × 5 m on a 10° tilt frame; bed and cupboard constrained inside. Cradle on fixed service side, receiving support x=19.","[""CHR-IVO"", ""ENV-BURDEN"", ""RIG-DOMESTIC-ROOM"", ""GME-PAIRED-STATION"", ""GME-SUPPORT-LOCK"", ""PRP-BED"", ""PRP-CUPBOARD""]",Room leans across a blocked exit. It is unoccupied but visibly lived-in. Its paired interface shares the carrier’s geometry and input grammar. A mechanical receiving stop is just outside alignment.,"A / Enter at close human scale: bed, cup and an old curtain. B / Ivo leans in the cradle; the room’s lamp and floor change angle with him. C / Camera opens enough to show the receiving stop, making the domestic space readable as an assembly.","Enter the paired cradle, lower the room’s near edge to clear the service beam, move its guided base a short distance, then raise toward the receiving support. Hold at the marked notch and engage the lock. Release to confirm the support carries it; exit and traverse through the newly aligned doorway. Two independent bounded coordinates, guide travel and tilt, are sufficient. Furniture has constrained incidental reactions but cannot jam the exit or change the solution. This second rehearsal adds emotional recognition, not new buttons.",Wrong posture blocks travel with a visible structural contact. The station safely settles instead of throwing Ivo. The lock cannot confirm without genuine alignment and support contact.,Architecture has been an external skeleton. The room is intimate enough that a sliding cup makes the bodily connection disturbing before the Ward enlarges it.,"Crockery against wood, lamp chain, foot plate and familiar hydraulic response. Ivo’s breath aligns with strain through shared state, not by delaying control.",CK-07-02,"Store room guide q, tilt, support and station binding. If restoring a locked state, furniture settles to curated poses outside traversal. One-off cupboard slide does not retrigger as a collision hazard.",A partially open root access shutter reveals Anja’s distinctive cuff before the larger installation.,"Players transfer carrier knowledge without tutorial. The scene reads as a domestic room, not a second industrial vehicle. Prop response is visible but never mechanically random.",149,155
SQ-07-03,C07,Mother is not behind the machine,8,[],Root reveal chamber 26 × 12 × 15 m. Anja hand and cuff at x=12 y=1.1; incorporated root body set behind x=15 z=3; sealed replacement collar x=18; open service path x=22.,"[""CHR-IVO"", ""CHR-ANJA"", ""CHR-ROOT"", ""RIG-ROOT"", ""GME-ROOT-SERVICE"", ""PRP-ANJA-CUFF"", ""ENV-BURDEN""]","Anja sustains the root. Root collar is visibly sealed and physically incorporated, unlike open peripheral harnesses. An adjacent replacement position is prepared but not secretly compulsory.","A / Familiar cuff and two taps identify her before the apparatus is understood. B / Slow side reframe exposes the connection’s irreversible physical extent while Ivo can approach or step back. C / When he looks toward the replacement position, she presses his free hand away from it.","Approach and Interact for the hand contact. Ivo can take a small service load, easing one restraint and permitting a gentle attempted withdrawal of her arm. The deeper incorporated connection remains; the apparatus visibly resists without a new arbitrary force field. Release returns the small load to its original owner through an explicit handover, not a drop. Inspect the nearby replacement cradle and the blocked service route. A short ordinary valve action opens the way onward. The eight-minute budget includes approach, player observation and the surrounding intimate space, not an eight-minute cutscene.","No time limit, no secret rescue branch and no ability to attack Anja. Interaction retries play abbreviated responses. The first major physical contact has a safe cancel before commitment and a short noninterruptible contact window.","Hold cannot undo damage. The system offers substitution; Anja refuses it for Ivo. Her death later must follow this established condition, not arrive as an unexplained punishment.","Prior machine rhythms thin to one difficult breath and fabric contact. No dialogue explains the apparatus. Silence leaves local room detail, never a complete audio vacuum.",CK-07-03,"RootRecognitionSeen, HandContactSeen and ReplacementRefused commit at separate coherent beats. Anja remains root owner. A suspend during the contact resumes at its nearest authored safe contact state.",Ivo follows a load conduit to an ordinary receiving frame blocking the service exit for other intact bearers.,Testers distinguish removable harnesses from the root. They understand her refusal without captions. Repeated interaction cannot accidentally transfer the root permanently to Ivo.,155,163
SQ-07-04,C07,A rescue that changes the room,7,"[""PZ-23""]","Domestic load bay 40 × 12 × 16 m. Overhead slab x=12–25, receiving frame x=7–18 on rail, service exit at x=28. Paired room interface remains accessible from the fixed side.","[""CHR-IVO"", ""ENV-BURDEN"", ""RIG-DOMESTIC-ROOM"", ""GME-RECEIVING-FRAME"", ""GME-SUPPORT-LOCK"", ""CHR-BEARER-03"", ""CHR-BEARER-04"", ""CHR-ORREN""]",Load obstructs an old mechanical receiving frame and keeps the communal service exit pinched. Three previously unloaded laundry attendants and two local intact bearers wait beyond it. Six queue survivors and Orren are already on separate routes to the hostel.,"A / The unsafe load and a useful ordinary frame occupy the same shot. B / From the paired interface, the player sees the overhead obstruction lift enough for the frame to slide. C / When the frame takes weight, Anja’s distant hand relaxes through a small connecting aperture and the service exit opens.","Guide the linked room slightly upward and Hold it in clearance. Engage the station parking clamp so Ivo can exit with the load supported. Push the receiving frame under its marked seat, set its ratchet, re-enter and lower the room onto it. Release the station restraint and verify the frame remains loaded. Exit and open the freed communal door. The five waiting intact bearers leave along an authored route toward the hostel. This sequence distinguishes temporary station support, ordinary support and human release without adding a new verb.",No exit from an unsupported station. The receiving frame cannot be moved while loaded. Wrong alignment blocks lowering into a safe contact state. Civilian movement starts only when the door and route are valid.,"Ivo can reduce suffering even though he cannot reverse Anja’s conversion. The visible cohort is now twelve: six queue survivors, three laundry attendants, two local bearers and Orren.","Frame engagement removes a layer of root strain. Different shoes and uneven breathing replace a synchronized correction rhythm. Orren is glimpsed helping, not summoned by command.",CK-07-04,"Persist frame support, five release flags and the twelve-member cohort roster. Civilian exit segments are idempotent. The root hand’s reduced-strain presentation reads the same load fact.",A seawall maintenance route opens beside the support. The camera briefly shows survivors entering the familiar hostel above.,All twelve survivor identities are accounted for without an escort grind. No one can be duplicated or stranded by streaming. The player understands that a change in architecture enabled the rescue.,163,170
SQ-08-01,C08,The storm has already passed,6,[],Seawall gallery 72 × 17 × 28 m. Retained basin behind damaged gatework on left/background; low sea visible through openings to the right. Main play lane remains dry and physically connected.,"[""CHR-IVO"", ""ENV-SEAWALL"", ""GME-BASIN-GATES"", ""FX-SEA"", ""FX-RAIN"", ""PRP-FLOOD-MARK""]",Water moves within the retained basin; gates and structural restraints are what remain arrested. Current sea is visibly below the old high-water damage. Rain and runoff explain continuing retained volume.,A / Tight passage preserves the old industrial expectation. B / Ivo walks into a broad opening and the camera reveals the calm low sea without a dramatic cut. C / A reverse-side view puts the retained basin and its damage in relation to that ordinary horizon.,"Traverse the inspection gallery, lift a light grating and open an ordinary viewing shutter. A short hand-operated gate test moves a small indicator float, establishing that the outside sea is not another frozen surface. Optional inspection of old repair outlines supports the same conclusion. Continue along the physical discharge conduit. The important information is spatial and hydraulic; no document is required to explain that the original storm is gone.",No threat interrupts the first horizon view. Exposed edge safety is clearly railed. Background waves cannot trigger player swim states. Avoid an invisible lethal boundary where the player expects to look outward.,"The danger remains real, but its historical justification has changed. The institution preserved an emergency instead of completing repairs and evacuation.","Ordinary sea, distant bird and open air replace constant mechanical pressure. Let the anticlimactic normality be unsettling. No orchestral revelation cue.",CK-08-01,Store SeaRevealed after the viewing threshold. Preserve basin gate restraints and root ownership. The sea’s cosmetic phase is independent of saved hydraulic quantities.,The discharge route is visible descending away from occupied ground. A displaced deflector and blockage explain why it is not already usable.,Players do not describe the water as time-frozen. They understand why simply switching off the root would still be unsafe. Low effects mode retains the level distinction.,170,176
SQ-08-02,C08,Prove a safe way down,7,"[""PZ-24""]","Discharge works 48 × 18 × 20 m. Deflector hinge x=13, receiving stops x=17, debris rack x=27, test valve x=6 on dry gallery. Observation window sees outlet beyond x=39.","[""CHR-IVO"", ""ENV-SEAWALL"", ""GME-DEFLECTOR"", ""GME-DEBRIS-RACK"", ""GME-TEST-VALVE"", ""GME-WATER-VOLUME"", ""FX-WATER-FLOW""]","Deflector displaced; receiving stops accessible. Rack obstructs the intended channel. Test flow is physically limited to a small bypass, so a wrong setup is observable without killing people.","A / Show the intended downhill path and the bad spill path near the refuge. B / Camera holds a stable wide composition while the deflector seats. C / At the test window, water visibly follows the corrected outlet away from the occupied hostel.","Take the deflector restraint, lower it to its receiving stops and seat the one-hand pin. Push the debris rack along a service rail to clear the channel. Return by an upper dry path to the test valve and open the limited bypass. If the rack or deflector is wrong, water strikes a visible safe catch basin and the indicator stays below the pass notch. Close the valve, correct the physical setup and test again. Correct flow trips a mechanical proof latch. Full discharge remains impossible until the refuge is moved; the test is a demonstration, not an arbitrary switch puzzle.",Test water never reaches civilians or traps Ivo on the return path. The valve can always be closed from the safe gallery. Decorative debris does not secretly block the certified channel.,The player earns confidence in release by observing its physical route. This is the final answer to the garden lesson about giving water somewhere to go.,"Start with trickle and deflector contact, then outlet rush. The proof latch is a dry sound amid water. Music does not falsely signal success before flow reaches the correct outlet.",CK-08-02,"DischargeProved commits only when deflector pin, rack clearance and test outlet agree. Save hydraulic test phase or safe closed state; never a certified fact with an obstructed channel.",A walkway leads beneath the hostel to the relocation foundations and the failed static crossing.,Players predict the safe outlet before the test. An unsafe configuration is reversible and clearly different. Regression changes to basin geometry must invalidate and retest the proof latch.,176,183
SQ-08-03,C08,The refuge cannot remain here,7,"[""PZ-25""]","Hostel foundation yard 66 × 18 × 24 m. Three receiving pads on an authored maintenance spine, temporary supports between them; root-return culvert below far abutment; hostel visible only in partial facades.","[""CHR-IVO"", ""ENV-SEAWALL"", ""RIG-WARD"", ""GME-RECEIVING-PAD"", ""GME-RELOCATION-PIN"", ""GME-SUPPORT-LOCK"", ""CHR-SURVIVORS""]",The fixed pedestrian crossing is visibly broken. Relocation shoes exist beneath the hostel. Receiving pads have two displaced locking blocks and one trapped old restraint. All survivors are inside or entering the hostel.,"A / Frame the broken fixed crossing and inhabited windows together. B / Low traversal shows a relocation shoe shaped like the small carrier’s support, but no full-body reveal. C / A high window shows Orren helping a queue survivor while the pale curtain moves outside.","Traverse the dry maintenance spine, move the two light receiving blocks to their rail stops and engage their locks. Take a trapped old restraint, release its unloaded pin, and let the local support settle onto a prepared stop. Open the return culvert’s far grille from the accessible service side; it will be reachable from the hostel after arrival. The player inspects a route for a structure, not a set of collectible keys. Each prepared pad visibly changes from rocking to seated. The pads will later make the Ward’s footing legible.","Do not allow entry into an occupied relocation machine before receiving supports are prepared. This is enforced by physical service interlocks and an unavailable open-cradle release, not an unexplained objective wall. No civilians are endangered during preparation.",The refuge’s original relocation hardware was held in incomplete preparation. The player is finishing an abandoned engineering action rather than granting a random power to a building.,"Exterior wind, occupied-room foley above and low shoe hydraulics. The scene is quieter than a chase; concentration and anticipation carry tension.",CK-08-03,"Save each pad lock and CulvertOpened. All preparations must remain visible in the finale. CohortReady validates twelve distinct slots, not twelve spawned clones.",The safe maintenance spine leads into the hostel’s open service cradle. The large route remains partly hidden by the building.,A tester can point to the receiving route and explain why the building must move. The culvert’s geography makes the later return to Anja plausible. All required preparation is reachable before commitment.,183,190
SQ-08-04,C08,An open place to stand,5,"[""PZ-26""]","Hostel service cradle 20 × 8 × 12 m. Open hand-and-foot interface x=8, parking clamps visible under floor, release handle within left-hand reach. Window frames the first receiving pad.","[""CHR-IVO"", ""RIG-WARD"", ""GME-PAIRED-STATION"", ""GME-SUPPORT-LOCK"", ""ENV-WARD-INTERIOR"", ""PRP-PALE-CURTAIN""]","Cradle is an open maintenance interface, not Anja’s sealed root collar. Parking clamps sustain the building. All route-preparation facts true before enter prompt becomes eligible.","A / Human-scale composition echoes the quarry carrier. B / Ivo checks the release handle; it moves freely while parking clamps are loaded. C / The camera stays inside the service room as he steps onto the foot plate, concealing full scale.","Inspect the release handle and local support diagram embodied by actual mechanical linkages. Engage the station with Interact. First, use Hold and Interact together through the established transfer gesture to take the balance from parking clamps; release the clamp lever only after the station owns the assembly. This is a one-time station-enter transaction, not a sustained two-button dexterity test; toggle mode performs the same contextual sequence. Small local posture changes establish control. The next chapter begins without a cut, but the player may pause or quit safely here.",No surprise permanent conversion. The open release hardware and the blocked-under-load rule are clearly visible. A failed preparation check offers a specific blocked handle response and a route back.,Ivo knowingly takes temporary responsibility. He is neither tricked into a secret skill nor destined by blood to operate the station.,"Foot plate, palm contact, clamp transfer and a small breath. Keep the building’s larger creak in reserve for the First Step. Interior crockery remains quiet.",CK-08-04,"Checkpoint immediately before ownership transfer and a supported station state afterward. Save station binding, parking clamps, route proof, pads and cohort together.","The same room continues into SQ-09-01. No chapter banner, control tutorial modal or menu replaces the moment.",Input remapping and toggle settings can complete the transfer. Quit/resume cannot close a permanent collar. The player knows how to release the station once mechanically supported.,190,195
SQ-09-01,C09,Taking the balance,3,"[""PZ-26""]","Same cradle and hostel asset as chapter eight. Initial Ward route q=0, posture neutral, all four shoes supported. Only the near shoe and interior cross-brace visible.","[""CHR-IVO"", ""RIG-WARD"", ""GME-PAIRED-STATION"", ""ENV-WARD-INTERIOR"", ""CHR-SURVIVORS""]",Station owns the relocation assembly; parking clamp opens only after the accepted transfer. Survivors are in assigned interior bays with secured ordinary grips.,A / Tight side view links Ivo’s foot to the near support shoe. B / A small directional request shifts an interior brace; residents steady themselves at the edge of frame. C / Camera remains human-scale until forward intent passes the first step threshold.,Test a small left/right lean and use Hold to arrest the local response. Lower and raise within a safe 0.2 m range if desired. Forward input begins a normal assisted step; no new control instructions are required. Neutral settles within the initial supported envelope. The player is free to observe for longer than the planned time. The major reveal waits for actual movement intent rather than a clock.,The rehearsal zone is nonlethal and cannot strand the building. No prolonged controller lock. Survivors react cosmetically but never fall because the player explores the input range.,The player recognizes the paired interface yet still perceives it as a large maintenance assembly. The discovery belongs to their attempted movement.,Close breath and foot contact; a larger low-frequency structural response enters only as the shoe begins lifting. Do not cue a heroic transformation melody.,CK-09-01,Station checkpoint preserves binding and active support graph. Restoring before the reveal does not mark it as seen. Menu cancellation cannot issue forward intent.,The first deliberate forward step crosses the camera-reveal threshold and continues directly into SQ-09-02.,Players who learned the carrier require no new buttons. Idling is safe. A fast input sequence cannot skip the shoe lift and reveal setup.,195,198
SQ-09-02,C09,The First Step,3,[],"Ward dimensions start at 24 m facade length, 12.6 m height and 6 m depth. Four articulated relocation shoes with 2.4 m bounded stroke. Reveal camera spans approximately 42 m; no organic appendages.","[""CHR-IVO"", ""RIG-WARD"", ""ENV-WARD-INTERIOR"", ""CHR-SURVIVORS"", ""PRP-CUP"", ""PRP-CUPBOARD"", ""PRP-PALE-CURTAIN"", ""FX-WARD-DUST""]","One assisted step has been requested. Ivo remains in the open cradle. The twelve-person cohort occupies stable interior cells. Scene geometry, rather than a mesh swap, is already the eventual moving building.","A / Foundation shoe lifts below the familiar room. B / Camera pulls back over approximately 8–12 seconds while movement remains responsive; a cup slides, somebody catches a rail, and the porch changes angle. C / Two uneven chimneys and pale curtain identify the hostel as the whole structure takes the step.","Continue forward or Hold to stop the step mid-phase. The camera reveal is tied to committed gait progress and a safe minimum reveal window, not to confiscating input. A player who pauses or arrests the machine sees a coherent arrested pose; the camera may finish a short readable reframe but not simulate a step they did not request. After the first shoe seats, forward input advances to the narrow-support staging point. The route is guided, but the posture and braking are under player control.",No lethal decision during the reveal. The first receiving support is deliberately generous. Failure after this sequence must not replay the full pullback unless the user restarts from before its checkpoint.,"Architecture has become Ivo’s external body. The immediate emotional question is not how much he can destroy, but whether the people inside will remain safe.","Enormous strain followed by a small domestic break. Individual hands, shoes and dishes make scale personal. No roar, bombastic theme or generalized flesh sound.",CK-09-02,FirstStepSeen commits after the first supported landing and completed readable reveal. Cosmetic cup break becomes a persistent interior state; it cannot repeatedly crash on every reload.,The camera now follows the full building toward the prepared support spine. Interior occupants remain selectively visible through service openings.,Fresh viewers identify the building before an external label. At least four of five express concern for occupants rather than treating it as an empty vehicle. Any comedy-walking response triggers art/gait revision.,198,201
SQ-09-03,C09,Carry the rooms across,5,"[""PZ-27""]",Narrow support segment: 16 m authored maintenance spine with 2.4 m step stations; pad heights differ by up to 0.6 m. Front pair reaches a 4 m pier before rear pair leaves the old bank. No foot traverses an impossible unsupported gap.,"[""RIG-WARD"", ""GME-RECEIVING-PAD"", ""GME-SUPPORT-LOCK"", ""CHR-SURVIVORS"", ""ENV-SEAWALL"", ""FX-WARD-DUST""]",Building upright; front support alignment is high relative to rear. A visible plumb indicator and shoe contact marks show the mismatch. Pads match preparations from PZ-25.,"A / Keep front shoe, narrow pier and at least one occupied room in the frame. B / On excessive pitch, a resident catches a bedpost and the plumb indicator approaches its limit. C / When posture lowers and the shoe seats, the same resident relaxes before the next step.","Advance until the front pair meets the narrow pier. Hold before committing the rear pair. Lower posture to bring the effective balance and receiving marks into the permitted envelope. Interact seats the front support lock; release Hold and request the next assisted step. Rear shoes advance in authored order. The player is choosing support, posture and commitment, not individually placing four feet. Attempting forward while misaligned produces a visible blocked-drive state and creak; a deliberate continued overdrive can trigger a short protected failure only after a broad warning.",Default misalignment is recoverable. A severe committed failure resets to the last stable support without graphic civilian deaths. Holding offers unlimited thinking time; the puzzle still needs correct posture and support engagement.,"Ivo’s new scale increases obligation, not aggression. The earlier receiving-cradle logic now supports inhabited space.","Footing contact, wood under strain, one whispered nonverbal gasp and uneven clothing movement. Successful support removes tension layers rather than adding a victory chord.",CK-09-03,"Commit stable support snapshots only at verified shoe contacts. Save route q, gait phase, posture, support mask, locks and each survivor bay binding. Interior props reset outside traversal hazards.",The building reaches a wide supported stance before the hanging tram girder. This is a safe observation and checkpoint area.,Outcome is repeatable at 30/60/120 fps. A novice can recover from initial misalignment. The player never needs to solve by memorizing invisible foot order.,201,206
SQ-09-04,C09,A building crouches,5,"[""PZ-28""]","Girder segment 14 m. Girder underside clearance 10.6 m; Ward upright height 12.6 m, lowered posture 9.8 m. Safe supported stance before and after. Clearance evaluated against simplified authoritative hulls.","[""RIG-WARD"", ""GME-GIRDER"", ""GME-SUPPORT-LOCK"", ""ENV-SEAWALL"", ""CHR-SURVIVORS"", ""FX-CABLE""]",Girder visibly blocks the upper floor. It cannot be destroyed safely. A sheltered low posture is available through previously learned vertical input.,A / Frame obstruction and building roofline with unambiguous overlap. B / Lowering makes the hostel adopt the same compressed posture Ivo used under earlier obstacles; people brace independently inside. C / The pale curtain brushes close to the girder while the authoritative collision hull still has margin.,"Hold on the supported approach, lower the structure and wait for its posture stop. Release Hold and advance under the girder; the assisted gait remains inside the safe lowered envelope. After the roof clears the far contact plane, brace, raise and engage the far receiving support. Pushing upright into the girder causes visible resistance and a blocked drive rather than silently shattering the inhabited floor. The player must recognize the shared posture language, not discover a new “duck building” button.","Roof contact is recoverable while both support pairs are safe. Decorative curtain/loose trim may brush without an invisible lethal collision. A committed unsafe lift under the girder gives a clear warning and local reset, not a long falling-house movie.",A place of shelter behaves like a vulnerable body. Power remains constrained by care for occupants and recognizable architecture.,"Compressed joints, cloth, dishes prevented from sliding by a resident’s hand. The most intense sound can be a small object almost falling, not an explosion.",CK-09-04,Safe checkpoint before lowering and after far support. Store posture and clearance phase. Restoring a lowered state cannot spawn an upright collider through the girder.,Inland receiving abutments and an exit porch come into view. Occupants can see stable ground but still cannot safely disembark.,The girder problem is understood visually from the approach. Camera motion reduction does not crop the roof. Collision and art margins remain valid after mesh revisions.,206,211
SQ-09-05,C09,The house kneels,4,"[""PZ-29""]",Inland abutment 30 × 15 × 22 m. Ward arrival sockets align with four shoes; porch ramp reaches ground only below 0.8 m threshold. Exit route clear to screen right. Return culvert under near abutment was opened in C08.,"[""RIG-WARD"", ""GME-RECEIVING-PAD"", ""GME-PORCH"", ""CHR-SURVIVORS"", ""CHR-ORREN"", ""ENV-INLAND""]",Ward is stable but elevated. Permanent locks open. All twelve survivor slots remain in their known interior bays. Ivo still owns the station process.,"A / Show the inaccessible drop from porch to ground. B / As the house lowers, porch becomes a ramp and each floor changes from strained movement to stillness. C / Occupants leave at different times; Orren helps another person, not in response to a player command.","Lower the Ward onto the prepared abutments. Hold when receiving marks align, engage permanent locks with Interact and release to verify they carry the structure. The porch ramp unfolds through a visible linkage. Survivors then choose their authored safe routes out; Ivo is not required to click individuals. The player maintains the stable posture until the final visible crossing. With weight on mechanical supports, the cradle release becomes available. Exit as Ivo, not as a detached camera.","Evacuation begins only after stable support and route checks. Small prop obstructions are disabled or cleared before NPC traversal. A stuck NPC watchdog moves them to a nearby valid continuation out of sight, never kills them or increments the count invisibly.",The building can now stand without a person. Independent departure reverses the exchange’s enforced compensation.,Uneven footsteps gradually replace linked strain. Orren’s bent shoe has a recognizable scrape. The low tone disappears only after the last active support is relieved.,CK-09-05,"Persist WardSupported, twelve unique SurvivorSafe flags, CradleReleased and root-return access. The final gate needs Orren in the correct route segment, not a newly spawned duplicate.",Ivo descends into the short pre-established root-return culvert beneath the landing. The hostel stays supported in the background.,"All twelve are visibly accounted for across framing, not necessarily simultaneously. Full-state reload preserves an empty safe hostel and Ivo outside the station. No remaining personal burden is silently discarded.",211,215
SQ-09-06,C09,The last hand,4,"[""PZ-30""]","Root return 44 m culvert plus 12 m contact chamber. Same root entity as C07, approached from its seaward service side. Governor fitting within 1.0 m of Anja’s hand; escape stair visible behind Ivo.","[""CHR-IVO"", ""CHR-ANJA"", ""CHR-ROOT"", ""RIG-ROOT"", ""GME-ROOT-GOVERNOR"", ""ENV-BURDEN"", ""PRP-ANJA-CUFF""]","DischargeProved, WardSupported and CohortEvacuated all true. Anja remains root owner. The remaining process is an unloaded sequencing governor, not the entire weight of water.","A / Ordinary boy scale and close footfall return after the large exterior. B / At the hand, camera echoes the opening contact distance; two taps are readable without facial close-up. C / Anja opens her fingers while Ivo takes the governor; leave a quiet composition for deliberate release.","Traverse the established culvert, operate the visible service isolation handle and Interact with Anja’s hand. The final handover validates prepared supports and transfers the governor to Ivo atomically. Hold sustains it while he chooses the moment to let go. There is no countdown. The scene enters an armed final-release state only after a fresh intentional gameplay press, separated from any pause/device event. Toggle mode uses a clearly indicated second intentional action after arming. No secret morality score or alternate rescue ending.","This contact is nonlethal. Unplugging a controller, losing focus, quitting or opening a menu cannot count as release. Rejected readiness checks report an explicit development assertion; shipping progression should make them impossible.","Anja cannot be restored, but her suffering need not be inherited. The same gesture means reassurance, recognition and permission to stop.","Two close taps, cuff fabric and a tired breath. No lyrical song or voice explains the ending. Let the player wait in a believable room.",CK-09-06,"RootReady, PlayerHasGovernor and FinalReleaseArmed are separate states. Suspend preserves the root safely; resume requires new deliberate intent. RootReleased is an idempotent irreversible event.","On confirmed release, the discharge sequence begins along the prepared channel and the root relaxes.",Test every menu/input/disconnect edge around handover. Exactly one release event can fire. Players understand why they are letting go and why this does not destroy the refuge.,215,219
SQ-09-07,C09,Let the emergency finish,3,"[""PZ-31""]","Root escape 60 × 14 × 15 m. Prepared outlet visible through two windows; three familiar traversal obstacles: short gap, lowering stair, duck-under beam. All are within ordinary motor metrics.","[""CHR-IVO"", ""CHR-ROOT"", ""GME-BASIN-GATES"", ""GME-ESCAPE-STAIR"", ""ENV-SEAWALL"", ""FX-DISCHARGE"", ""FX-SETTLE""]",RootReleased true. Water begins its authored channel transfer. The root no longer sustains the local fittings. Escape route’s independent mechanical supports are already present.,"A / Anja’s fingers relax, then the camera follows Ivo rather than lingering on death. B / Two openings show water following the tested path and the supported hostel staying still. C / Local structure settles behind him as the camera leads to each known landing.","Release triggers gates in a verified sequence. Move toward the escape stair, jump a routine 1.6 m gap, wait or step onto the lowering stair at its mechanical stop, and crouch under the beam. The brace has no active network on these fittings; a failed attempt gives a dead-contact response, not an arbitrary power-removal cutscene. Ordinary movement suffices. The sequence is urgent but short enough not to replace the goodbye with a prolonged action finale.","No unfamiliar hazard language. A failure restores a post-release local checkpoint, never forces another goodbye or reverses Anja’s death. Structural collapse uses authored states; cinematic debris cannot create random blockers.",Release is safe because the player changed the world. The supported hostel is visual proof that care did not require permanent restraint.,"Water movement, structural settling and Ivo’s effort. Root strain falls away instead of climaxing into a monster cry. Keep loudness within the established mix headroom.",CK-09-07,"Use a post-release immutable story ledger plus local escape snapshots. On reload, root remains released and survivors remain safe. Gate/hydraulic phases reconstruct as a coherent authored state.",Ivo reaches a dead exit fitting and an ordinary gate. Orren is already on the safe side through his independent route.,The escape is solvable on first sight. A retry costs under 30 seconds and does not replay the emotional contact. The water effect agrees with the proved channel.,219,222
SQ-09-08,C09,Long enough to pass,3,[],"Exit gate 12 × 5 × 8 m, then inland path 52 × 10 × 24 m. Gate contact at x=4; Orren on opposite side; final offered-hand marker on broad level ground before the horizon.","[""CHR-IVO"", ""CHR-ORREN"", ""CHR-SURVIVORS"", ""GME-ORDINARY-GATE"", ""ENV-INLAND"", ""FX-SEA""]",Powered fitting is dead. Orren’s final route segment is available; survivors are moving independently inland. No threat remains and no final secret puzzle is hidden.,A / Ivo reaches for the familiar fitting and gets no response. B / Orren pushes the gate by hand and holds it while Ivo crosses. C / Wide human-scale path; Ivo’s curled hand gradually opens to another survivor’s offered hand. Last steps remain playable before fade.,"Approach the gate and attempt the natural contact or continue into Orren’s view. He opens it through an ordinary hinged interaction and waits until Ivo passes. Walk inland. At the offered hand, Interact accepts; continuing directional input also completes a gentle authored reach once Ivo is aligned, avoiding a confusing final prompt hunt. The fade begins only after a short shared walk. A player who stops can remain safely in the scene. Credits begin after the emotional image has settled.","No surprise attack, jump scare, alternate-ending collectible or cruel final death. Orren does not close the gate on Ivo. End-of-game menu input cannot skip the hand accidentally.","Voluntary help is temporary and human. The last relationship is not synchronized control. The outcome is grief with relief, not a perfect rescue of history.","Orren’s shoe scrape, ordinary gate hinge, wind and footsteps with independent timing. No triumphant anthem; a thin tonal resolution may begin only after darkness.",CK-09-08,"CampaignComplete records after final walk, with chapter replay states separate from continue save. Reload before completion returns to the safe inland path; after completion menu offers credits/replay without overwriting the ending ledger.","Darkness, then credits and a restrained return to menu. No sequel hook contradicts the emotional resolution.",The ending still communicates when sound is muted. Every survivor offered-hand variant aligns at Ivo’s height. Credits and completion state survive immediate application closure.,222,225
