id,category,scope,owner,first_use,sequences,milestone,acceptance,status,estimate_person_days
PRP-CUP,PRP,Cup/spoon domestic motif; small impact and vibration; Ward contained-physics variant,Environment/prop art,SQ-01-01,"[""SQ-01-01"", ""SQ-09-02""]",M10,"At authored gameplay distance: correct silhouette/scale, named sockets, simple collision, legal material/LOD budget, no missing source or license; integrate in earliest sequence and verify pause/reload.",Backlog,
PRP-ANJA-CUFF,PRP,Double-stitched sleeve identifier matched across human and integrated presentations,Environment/prop art,SQ-07-03,"[""SQ-07-03"", ""SQ-09-06""]",M14,"At authored gameplay distance: correct silhouette/scale, named sockets, simple collision, legal material/LOD budget, no missing source or license; integrate in earliest sequence and verify pause/reload.",Backlog,
PRP-REED-SCREEN,PRP,Lightweight garden screening; wind deformation; distinct from connected puzzle panel,Environment/prop art,SQ-02-01,"[""SQ-02-01""]",M14,"At authored gameplay distance: correct silhouette/scale, named sockets, simple collision, legal material/LOD budget, no missing source or license; integrate in earliest sequence and verify pause/reload.",Backlog,
PRP-SACK,PRP,Supply sack; first Porter demonstration target; catch-compatible shape; soft-looking but bounded motion,Environment/prop art,SQ-02-03,"[""SQ-02-03""]",M14,"At authored gameplay distance: correct silhouette/scale, named sockets, simple collision, legal material/LOD budget, no missing source or license; integrate in earliest sequence and verify pause/reload.",Backlog,
PRP-GROCERY,PRP,Resident basket and parcels; background ordinary life; noninteractive collision-free dressing,Environment/prop art,SQ-02-04,"[""SQ-02-04""]",M14,"At authored gameplay distance: correct silhouette/scale, named sockets, simple collision, legal material/LOD budget, no missing source or license; integrate in earliest sequence and verify pause/reload.",Backlog,
PRP-LAUNDRY-CART,PRP,Trolley shell; wheels; cloth piles; optional guided push; readable solid cover,Environment/prop art,SQ-03-01,"[""SQ-03-01""]",M13,"At authored gameplay distance: correct silhouette/scale, named sockets, simple collision, legal material/LOD budget, no missing source or license; integrate in earliest sequence and verify pause/reload.",Backlog,
PRP-SHEET,PRP,Thin wet translucent and thick opaque variants; silhouette behavior authored for stealth,Environment/prop art,SQ-03-02,"[""SQ-03-02""]",M13,"At authored gameplay distance: correct silhouette/scale, named sockets, simple collision, legal material/LOD budget, no missing source or license; integrate in earliest sequence and verify pause/reload.",Backlog,
PRP-BLANKET,PRP,Dry/wet material and shape; rack attachment; mass-state visual cue,Environment/prop art,SQ-03-02,"[""SQ-03-02""]",M13,"At authored gameplay distance: correct silhouette/scale, named sockets, simple collision, legal material/LOD budget, no missing source or license; integrate in earliest sequence and verify pause/reload.",Backlog,
PRP-PORCELAIN-SHARD,PRP,Tiny broken cover piece; snag/reveal interaction; readable shape without sparkle,Environment/prop art,SQ-03-04,"[""SQ-03-04""]",M13,"At authored gameplay distance: correct silhouette/scale, named sockets, simple collision, legal material/LOD budget, no missing source or license; integrate in earliest sequence and verify pause/reload.",Backlog,
PRP-LUGGAGE,PRP,Bags/cases/cart loads for exchange; restricted silhouette clutter; no random route blockage,Environment/prop art,SQ-04-01,"[""SQ-04-01""]",M14,"At authored gameplay distance: correct silhouette/scale, named sockets, simple collision, legal material/LOD budget, no missing source or license; integrate in earliest sequence and verify pause/reload.",Backlog,
PRP-ORREN-PROPS,PRP,Bent shoe and missing-button coat variants; continuous identity at release/evacuation/gate,Environment/prop art,SQ-04-04,"[""SQ-04-04""]",M14,"At authored gameplay distance: correct silhouette/scale, named sockets, simple collision, legal material/LOD budget, no missing source or license; integrate in earliest sequence and verify pause/reload.",Backlog,
PRP-GANTRY,PRP,Steel background gantry family; cable guides; readable distant support mass,Environment/prop art,SQ-05-01,"[""SQ-05-01""]",M14,"At authored gameplay distance: correct silhouette/scale, named sockets, simple collision, legal material/LOD budget, no missing source or license; integrate in earliest sequence and verify pause/reload.",Backlog,
PRP-FLOAT-CHAIR,PRP,Guided decorative floating chair; water-level response; harmless to swimmer route,Environment/prop art,SQ-06-01,"[""SQ-06-01""]",M08,"At authored gameplay distance: correct silhouette/scale, named sockets, simple collision, legal material/LOD budget, no missing source or license; integrate in earliest sequence and verify pause/reload.",Backlog,
PRP-FLOOD-MARK,PRP,Old waterline decals; salt band; repaint layering; consistent height across connected spaces,Environment/prop art,SQ-08-01,"[""SQ-08-01""]",M14,"At authored gameplay distance: correct silhouette/scale, named sockets, simple collision, legal material/LOD budget, no missing source or license; integrate in earliest sequence and verify pause/reload.",Backlog,
PRP-OLD-HARNESS,PRP,Removed restraint silhouettes; mounting scars; abandoned covers; visual institutional history,Environment/prop art,SQ-06-04,"[""SQ-06-04""]",M08,"At authored gameplay distance: correct silhouette/scale, named sockets, simple collision, legal material/LOD budget, no missing source or license; integrate in earliest sequence and verify pause/reload.",Backlog,
PRP-BED,PRP,Dormitory bed; local Ward contact points; survivor brace socket; no free heavy projectile,Environment/prop art,SQ-07-02,"[""SQ-07-02""]",M14,"At authored gameplay distance: correct silhouette/scale, named sockets, simple collision, legal material/LOD budget, no missing source or license; integrate in earliest sequence and verify pause/reload.",Backlog,
PRP-CUPBOARD,PRP,Ward cupboard with bounded hinged door; catch and settle states; controlled interior clutter,Environment/prop art,SQ-07-02,"[""SQ-07-02"", ""SQ-09-02""]",M14,"At authored gameplay distance: correct silhouette/scale, named sockets, simple collision, legal material/LOD budget, no missing source or license; integrate in earliest sequence and verify pause/reload.",Backlog,
PRP-PALE-CURTAIN,PRP,"Landmark curtain with consistent tear and color; far proxy, near cloth and Ward-motion variants",Environment/prop art,SQ-08-04,"[""SQ-08-04"", ""SQ-09-02""]",M14,"At authored gameplay distance: correct silhouette/scale, named sockets, simple collision, legal material/LOD budget, no missing source or license; integrate in earliest sequence and verify pause/reload.",Backlog,
FX-RAIN,FX,Sparse rain layers; contact splashes; always moves during Hold; quality-scalable without hiding routes,VFX + technical art,SQ-08-01,"[""SQ-08-01""]",M14,"At authored gameplay distance: correct silhouette/scale, named sockets, simple collision, legal material/LOD budget, no missing source or license; integrate in earliest sequence and verify pause/reload.",Backlog,
FX-DUST,FX,Falling dust/motes; Hold distinction; no global freeze; bounded pooled emitter,VFX + technical art,SQ-01-03,"[""SQ-01-03"", ""SQ-03-04""]",M10,"At authored gameplay distance: correct silhouette/scale, named sockets, simple collision, legal material/LOD budget, no missing source or license; integrate in earliest sequence and verify pause/reload.",Backlog,
FX-WIND,FX,Reed/cloth motion field and grit; decorative motion independent of restraint,VFX + technical art,SQ-02-01,"[""SQ-02-01""]",M14,"At authored gameplay distance: correct silhouette/scale, named sockets, simple collision, legal material/LOD budget, no missing source or license; integrate in earliest sequence and verify pause/reload.",Backlog,
FX-WATER-FLOW,FX,Inlet/diversion/discharge stream meshes and particles; parameters from water graph,VFX + technical art,SQ-02-02,"[""SQ-02-02"", ""SQ-03-03"", ""SQ-08-02""]",M14,"At authored gameplay distance: correct silhouette/scale, named sockets, simple collision, legal material/LOD budget, no missing source or license; integrate in earliest sequence and verify pause/reload.",Backlog,
FX-CABLE,FX,Cable tension and small oscillation; owner/load response; no luminous energy tether,VFX + technical art,SQ-02-03,"[""SQ-02-03"", ""SQ-05-02"", ""SQ-09-04""]",M14,"At authored gameplay distance: correct silhouette/scale, named sockets, simple collision, legal material/LOD budget, no missing source or license; integrate in earliest sequence and verify pause/reload.",Backlog,
FX-CONTACT,FX,"Tiny contact glint, ceramic vane response and fingertip pressure; clear without bloom dependence",VFX + technical art,SQ-07-01,"[""SQ-07-01""]",M14,"At authored gameplay distance: correct silhouette/scale, named sockets, simple collision, legal material/LOD budget, no missing source or license; integrate in earliest sequence and verify pause/reload.",Backlog,
FX-CHALK,FX,"Pale quarry dust, grit and chips; impact response at receiving mass",VFX + technical art,SQ-05-01,"[""SQ-05-01"", ""SQ-05-04""]",M14,"At authored gameplay distance: correct silhouette/scale, named sockets, simple collision, legal material/LOD budget, no missing source or license; integrate in earliest sequence and verify pause/reload.",Backlog,
FX-IMPACT,FX,Material impact particles; bounded debris pools; ground contact lighting response,VFX + technical art,SQ-05-03,"[""SQ-05-03""]",M14,"At authored gameplay distance: correct silhouette/scale, named sockets, simple collision, legal material/LOD budget, no missing source or license; integrate in earliest sequence and verify pause/reload.",Backlog,
FX-BUBBLES,FX,Swim/bell bubble cues; air loss and breathing event tags; capped particle count,VFX + technical art,SQ-06-02,"[""SQ-06-02""]",M08,"At authored gameplay distance: correct silhouette/scale, named sockets, simple collision, legal material/LOD budget, no missing source or license; integrate in earliest sequence and verify pause/reload.",Backlog,
FX-SILT,FX,Underwater local disturbance with recovery fade; never hides essential destination indefinitely,VFX + technical art,SQ-06-01,"[""SQ-06-01""]",M08,"At authored gameplay distance: correct silhouette/scale, named sockets, simple collision, legal material/LOD budget, no missing source or license; integrate in earliest sequence and verify pause/reload.",Backlog,
FX-WATER-MARK,FX,Exposed wet/dry edge following drained region; environmental record reveal,VFX + technical art,SQ-06-04,"[""SQ-06-04""]",M08,"At authored gameplay distance: correct silhouette/scale, named sockets, simple collision, legal material/LOD budget, no missing source or license; integrate in earliest sequence and verify pause/reload.",Backlog,
FX-DRIPS,FX,Persistent droplets and water trails after leaving submerged area; wetness decay,VFX + technical art,SQ-02-04,"[""SQ-02-04""]",M14,"At authored gameplay distance: correct silhouette/scale, named sockets, simple collision, legal material/LOD budget, no missing source or license; integrate in earliest sequence and verify pause/reload.",Backlog,
FX-SEA,FX,Calm outside sea surface and sparse foam; distinct from retained basin; low horizon movement,VFX + technical art,SQ-08-01,"[""SQ-08-01"", ""SQ-09-08""]",M14,"At authored gameplay distance: correct silhouette/scale, named sockets, simple collision, legal material/LOD budget, no missing source or license; integrate in earliest sequence and verify pause/reload.",Backlog,
FX-DISCHARGE,FX,"Final gate outflow, spray and debris response; follows proofed route and authored phase",VFX + technical art,SQ-09-07,"[""SQ-09-07""]",M14,"At authored gameplay distance: correct silhouette/scale, named sockets, simple collision, legal material/LOD budget, no missing source or license; integrate in earliest sequence and verify pause/reload.",Backlog,
FX-WARD-DUST,FX,Foundation dust and interior settling on First Step; per-support origins; controlled opacity,VFX + technical art,SQ-09-02,"[""SQ-09-02"", ""SQ-09-03""]",M14,"At authored gameplay distance: correct silhouette/scale, named sockets, simple collision, legal material/LOD budget, no missing source or license; integrate in earliest sequence and verify pause/reload.",Backlog,
FX-SETTLE,FX,Post-release small structural settling; no undeclared lethal cosmetic rubble,VFX + technical art,SQ-09-07,"[""SQ-09-07""]",M14,"At authored gameplay distance: correct silhouette/scale, named sockets, simple collision, legal material/LOD budget, no missing source or license; integrate in earliest sequence and verify pause/reload.",Backlog,
MAT-SURFACES,MAT,"Shared matte concrete, chalk, painted steel, wet stone, cloth, skin and porcelain masters; bounded local wear",Technical art,Shared,[],M13,"At authored gameplay distance: correct silhouette/scale, named sockets, simple collision, legal material/LOD budget, no missing source or license; integrate in earliest sequence and verify pause/reload.",Backlog,
MAT-WATER,MAT,"Bounded water shader, reflection/refraction quality levels, surface/head alignment debug",Technical art,Shared,[],M08,"At authored gameplay distance: correct silhouette/scale, named sockets, simple collision, legal material/LOD budget, no missing source or license; integrate in earliest sequence and verify pause/reload.",Backlog,
MAT-GLASS,MAT,Simple pane/frosted-glass material; transparent sorting reviewed in sheet and water scenes,Technical art,Shared,[],M13,"At authored gameplay distance: correct silhouette/scale, named sockets, simple collision, legal material/LOD budget, no missing source or license; integrate in earliest sequence and verify pause/reload.",Backlog,
MAT-FOG,MAT,Layered depth fog and local light shafts; quality and accessibility variants,Technical art,Shared,[],M13,"At authored gameplay distance: correct silhouette/scale, named sockets, simple collision, legal material/LOD budget, no missing source or license; integrate in earliest sequence and verify pause/reload.",Backlog,
LGT-PROFILES,LGT,Nine chapter lighting profiles plus reveal/underwater/root presets; grayscale read tests,Lighting,Shared,[],M13,"At authored gameplay distance: correct silhouette/scale, named sockets, simple collision, legal material/LOD budget, no missing source or license; integrate in earliest sequence and verify pause/reload.",Backlog,
ENV-HOSTEL-PROXY,ENV,Distant hostel LOD/proxy with two chimneys and pale curtain; no duplicate gameplay authority,Environment art,Shared,[],M14,"At authored gameplay distance: correct silhouette/scale, named sockets, simple collision, legal material/LOD budget, no missing source or license; integrate in earliest sequence and verify pause/reload.",Backlog,
ENV-SHARED-PIPES,ENV,Straight/elbow/tee/valve pipe kit; wall and ceiling mounts; scale convention,Environment art,Shared,[],M14,"At authored gameplay distance: correct silhouette/scale, named sockets, simple collision, legal material/LOD budget, no missing source or license; integrate in earliest sequence and verify pause/reload.",Backlog,
ENV-SHARED-RAILS,ENV,Railing/handrail/conduit modular kit; socket-compatible corners and damaged ends,Environment art,Shared,[],M14,"At authored gameplay distance: correct silhouette/scale, named sockets, simple collision, legal material/LOD budget, no missing source or license; integrate in earliest sequence and verify pause/reload.",Backlog,
ENV-SHARED-DOORS,ENV,Domestic/service doors and frames; clearance and grip sockets; closed/open variants,Environment art,Shared,[],M14,"At authored gameplay distance: correct silhouette/scale, named sockets, simple collision, legal material/LOD budget, no missing source or license; integrate in earliest sequence and verify pause/reload.",Backlog,
ENV-SHARED-FIXTURES,ENV,"Lamps, meters, terminal housings and signs; limited readable civic icon set",Environment art,Shared,[],M14,"At authored gameplay distance: correct silhouette/scale, named sockets, simple collision, legal material/LOD budget, no missing source or license; integrate in earliest sequence and verify pause/reload.",Backlog,
UI-BOOT,UI,"Title, initial brightness, input device prompt and first-run accessibility entry",UI/UX + gameplay,Shared,[],M15,"Controller/keyboard navigation, remap, text expansion, scale and safe-area pass; settings survive restart and do not cause irreversible input.",Backlog,
UI-MAIN,UI,New/continue/slots/settings/credits/quit screens; keyboard/controller focus; safe-area support,UI/UX + gameplay,Shared,[],M15,"Controller/keyboard navigation, remap, text expansion, scale and safe-area pass; settings survive restart and do not cause irreversible input.",Backlog,
UI-PAUSE,UI,Resume/restart/settings/quit; clear restart confirmation and protected root behavior,UI/UX + gameplay,Shared,[],M15,"Controller/keyboard navigation, remap, text expansion, scale and safe-area pass; settings survive restart and do not cause irreversible input.",Backlog,
UI-SETTINGS,UI,"Remap, toggle Hold/grip, breath assist, reduced motion, captions, mix, brightness and display menus",UI/UX + gameplay,Shared,[],M15,"Controller/keyboard navigation, remap, text expansion, scale and safe-area pass; settings survive restart and do not cause irreversible input.",Backlog,
UI-GLYPHS,UI,"Licensed or original keyboard/controller glyph atlas; switch by active device, readable scales",UI/UX + gameplay,Shared,[],M15,"Controller/keyboard navigation, remap, text expansion, scale and safe-area pass; settings survive restart and do not cause irreversible input.",Backlog,
UI-CAPTIONS,UI,Directional non-dialogue sound captions; size/background controls; critical cue priority,UI/UX + gameplay,Shared,[],M15,"Controller/keyboard navigation, remap, text expansion, scale and safe-area pass; settings survive restart and do not cause irreversible input.",Backlog,
UI-SAVE,UI,Small saving/failure/recovery indicators; no intrusive checkpoint ceremony,UI/UX + gameplay,Shared,[],M15,"Controller/keyboard navigation, remap, text expansion, scale and safe-area pass; settings survive restart and do not cause irreversible input.",Backlog,
UI-ERROR,UI,"Corrupt save, disk failure and incompatible version recovery panels; preserve old progress",UI/UX + gameplay,Shared,[],M15,"Controller/keyboard navigation, remap, text expansion, scale and safe-area pass; settings survive restart and do not cause irreversible input.",Backlog,
UI-CREDITS,UI,Scroll and licenses; skippable after ending; no required lore or sequel reveal,UI/UX + gameplay,Shared,[],M15,"Controller/keyboard navigation, remap, text expansion, scale and safe-area pass; settings survive restart and do not cause irreversible input.",Backlog,
UI-ROOT-CONFIRM,UI,Accessible deliberate release affordance; re-arm after pause/focus/device loss,UI/UX + gameplay,Shared,[],M15,"Controller/keyboard navigation, remap, text expansion, scale and safe-area pass; settings survive restart and do not cause irreversible input.",Backlog,
UI-INPUT-HELP,UI,Minimal contextual first-use prompts; fade after confirmed use; replayable help in pause,UI/UX + gameplay,Shared,[],M15,"Controller/keyboard navigation, remap, text expansion, scale and safe-area pass; settings survive restart and do not cause irreversible input.",Backlog,
CIN-OPENING,CIN,Event-relative kitchen/landing/transport camera and interaction phase asset,Direction + animation,Shared,[],M14,"At authored gameplay distance: correct silhouette/scale, named sockets, simple collision, legal material/LOD budget, no missing source or license; integrate in earliest sequence and verify pause/reload.",Backlog,
CIN-FINGER,CIN,"Porcelain snag, fragment and living fingernail reveal; optional observation hold",Direction + animation,Shared,[],M14,"At authored gameplay distance: correct silhouette/scale, named sockets, simple collision, legal material/LOD budget, no missing source or license; integrate in earliest sequence and verify pause/reload.",Backlog,
CIN-EYES,CIN,Conscious restraint gaze event; body/micro-motion separation test,Direction + animation,Shared,[],M14,"At authored gameplay distance: correct silhouette/scale, named sockets, simple collision, legal material/LOD budget, no missing source or license; integrate in earliest sequence and verify pause/reload.",Backlog,
CIN-ANJA,CIN,"Cuff recognition, two taps, failed extraction and refusal sequence; interrupt-safe phases",Direction + animation,Shared,[],M14,"At authored gameplay distance: correct silhouette/scale, named sockets, simple collision, legal material/LOD budget, no missing source or license; integrate in earliest sequence and verify pause/reload.",Backlog,
CIN-SEA,CIN,Camera reveal contrasting retained basin with calm lower sea; continuous control,Direction + animation,Shared,[],M14,"At authored gameplay distance: correct silhouette/scale, named sockets, simple collision, legal material/LOD budget, no missing source or license; integrate in earliest sequence and verify pause/reload.",Backlog,
CIN-FIRST-STEP,CIN,Progress-driven pullback; room reactions; domestic prop cue; reduced-motion variant,Direction + animation,Shared,[],M14,"At authored gameplay distance: correct silhouette/scale, named sockets, simple collision, legal material/LOD budget, no missing source or license; integrate in earliest sequence and verify pause/reload.",Backlog,
CIN-ROOT,CIN,"Handover, goodbye, deliberate release and postrelease recovery phase assets",Direction + animation,Shared,[],M14,"At authored gameplay distance: correct silhouette/scale, named sockets, simple collision, legal material/LOD budget, no missing source or license; integrate in earliest sequence and verify pause/reload.",Backlog,
CIN-END,CIN,Ordinary gate and offered hand; final walking and fade; no loss of agency before gesture,Direction + animation,Shared,[],M14,"At authored gameplay distance: correct silhouette/scale, named sockets, simple collision, legal material/LOD budget, no missing source or license; integrate in earliest sequence and verify pause/reload.",Backlog,
FX-FOOT-CONTACT,FX,Surface-specific dust/splash traces; animation foot-contact event integration,VFX + technical art,Shared,[],M14,"At authored gameplay distance: correct silhouette/scale, named sockets, simple collision, legal material/LOD budget, no missing source or license; integrate in earliest sequence and verify pause/reload.",Backlog,
FX-LIGHT-RESPONSE,FX,Selected fixture flicker/rim response to mass impacts; no random epilepsy-inducing strobe,VFX + technical art,Shared,[],M14,"At authored gameplay distance: correct silhouette/scale, named sockets, simple collision, legal material/LOD budget, no missing source or license; integrate in earliest sequence and verify pause/reload.",Backlog,
PRP-PORCELAIN-COVERS,PRP,Intact/cracked/removed cover states for repeated institutional fitting language,Environment/prop art,Shared,[],M14,"At authored gameplay distance: correct silhouette/scale, named sockets, simple collision, legal material/LOD budget, no missing source or license; integrate in earliest sequence and verify pause/reload.",Backlog,
PRP-TOOLS,PRP,"Anja's screwdriver, cover fasteners and small repair tray; opening contact scale",Environment/prop art,Shared,[],M14,"At authored gameplay distance: correct silhouette/scale, named sockets, simple collision, legal material/LOD budget, no missing source or license; integrate in earliest sequence and verify pause/reload.",Backlog,
PRP-SIGNAGE,PRP,Original evacuation/relief/safety symbols and sparse local text; localization-safe optional language,Environment/prop art,Shared,[],M14,"At authored gameplay distance: correct silhouette/scale, named sockets, simple collision, legal material/LOD budget, no missing source or license; integrate in earliest sequence and verify pause/reload.",Backlog,
PRP-HANDRAIL,PRP,Human-worn hand-contact finish and double-tap sound surface; reused throughout route,Environment/prop art,Shared,[],M14,"At authored gameplay distance: correct silhouette/scale, named sockets, simple collision, legal material/LOD budget, no missing source or license; integrate in earliest sequence and verify pause/reload.",Backlog,
PRP-INTERIOR-LOOSE,PRP,"Controlled Ward dishes, books and small parcels; containment pools, no lethal projectiles",Environment/prop art,Shared,[],M14,"At authored gameplay distance: correct silhouette/scale, named sockets, simple collision, legal material/LOD budget, no missing source or license; integrate in earliest sequence and verify pause/reload.",Backlog,
DATA-COHORT,DATA,"Twelve stable survivor IDs, look variants, release facts and route presentation configurations",Design + engineering,Shared,[],M14,"At authored gameplay distance: correct silhouette/scale, named sockets, simple collision, legal material/LOD budget, no missing source or license; integrate in earliest sequence and verify pause/reload.",Backlog,
DATA-CAMERA,DATA,"Sequence camera volumes, emphasis targets, occlusion masks and reveal paths",Design + engineering,Shared,[],M14,"At authored gameplay distance: correct silhouette/scale, named sockets, simple collision, legal material/LOD budget, no missing source or license; integrate in earliest sequence and verify pause/reload.",Backlog,
DATA-PUZZLES,DATA,"Thirty-one puzzle definitions, initial states, support graphs and exit predicates",Design + engineering,Shared,[],M14,"At authored gameplay distance: correct silhouette/scale, named sockets, simple collision, legal material/LOD budget, no missing source or license; integrate in earliest sequence and verify pause/reload.",Backlog,
DATA-CHECKPOINTS,DATA,Forty primary checkpoint definitions plus authored internal safe phases,Design + engineering,Shared,[],M14,"At authored gameplay distance: correct silhouette/scale, named sockets, simple collision, legal material/LOD budget, no missing source or license; integrate in earliest sequence and verify pause/reload.",Backlog,
DATA-AUDIO,DATA,"Cue router definitions, buses, mixes, priorities, captions and phase mapping",Design + engineering,Shared,[],M14,"At authored gameplay distance: correct silhouette/scale, named sockets, simple collision, legal material/LOD budget, no missing source or license; integrate in earliest sequence and verify pause/reload.",Backlog,
DATA-LOCALIZATION,DATA,"Stable strings, glyph metadata, captions and UI layout expansion tests",Design + engineering,Shared,[],M14,"At authored gameplay distance: correct silhouette/scale, named sockets, simple collision, legal material/LOD budget, no missing source or license; integrate in earliest sequence and verify pause/reload.",Backlog,
BUILD-STORE,BUILD,"Original key art/capsule plan, truthful screenshots/trailer capture, description, disclosures and credits",Production,Shared,[],M18,"At authored gameplay distance: correct silhouette/scale, named sockets, simple collision, legal material/LOD budget, no missing source or license; integrate in earliest sequence and verify pause/reload.",Backlog,
BUILD-LICENSES,BUILD,"Third-party inventory, source permissions, legal notices and attribution records",Production,Shared,[],M18,"At authored gameplay distance: correct silhouette/scale, named sockets, simple collision, legal material/LOD budget, no missing source or license; integrate in earliest sequence and verify pause/reload.",Backlog,
